reactants,products
N # C c 1 c c c ( N N ) c c 1 ,N # C c 1 c c 2 c c c c c 2 [nH] 1
O C c 1 c n c 2 c c c c c 2 c 1 ,O C C 1 C N c 2 c c c c c 2 C 1
O C c 1 c c c 2 n c c c c 2 c 1 ,O C c 1 c c c 2 c ( c 1 ) C C C N 2
O = C c 1 c n c c 2 c c c c c 1 2 ,O C c 1 c n c c 2 c c c c c 1 2
C O c 1 c n c ( Cl ) n c 1 Cl . N N ,C O c 1 c n c ( Cl ) n c 1 N N
C O c 1 c n c ( Cl ) n c 1 Cl . N N ,C O c 1 c n c ( Cl ) n c 1 N N
O = C ( O ) c 1 c o n c 1 - c 1 c c c ( F ) c c 1 . O = S ( Cl ) Cl ,O = C ( Cl ) c 1 c o n c 1 - c 1 c c c ( F ) c c 1
O = C ( O ) c 1 c o n c 1 - c 1 c c c ( F ) c c 1 ,O = C ( O ) c 1 c o n c 1 - c 1 c c c c c 1
C [O-] . O c 1 c c c c 2 c n c c c 1 2 ,C O c 1 c c c c 2 c n c c c 1 2
O = C ( O ) c 1 c c c ( I ) c c 1 . O = S ( Cl ) Cl ,O = C ( Cl ) c 1 c c c ( I ) c c 1
Cl c 1 c c c c c 1 Cl . O = C ( Cl ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c ( Cl ) c ( Cl ) c 1
C c 1 n c c c c 1 O . O = [N+] ( [O-] ) c 1 c c c ( Cl ) n c 1 ,C c 1 n c c c c 1 O c 1 c c c ( [N+] ( = O ) [O-] ) c n 1
C c 1 n c c c c 1 O c 1 c c c ( [N+] ( = O ) [O-] ) c n 1 ,C c 1 n c c c c 1 O c 1 c c c ( N ) c n 1
Br Br . N c 1 n c c c c 1 C ( = O ) O ,N c 1 n c c ( Br ) c c 1 C ( = O ) O
C c 1 c c c ( Br ) c c 1 . O = S ( = O ) ( O ) Cl ,C c 1 c c c ( Br ) c ( S ( = O ) ( = O ) Cl ) c 1
C c 1 c c c ( Br ) c ( S ( = O ) ( = O ) Cl ) c 1 ,C c 1 c c c ( Br ) c ( S ( = O ) O ) c 1
C c 1 c c ( F ) c c c 1 [N+] ( = O ) [O-] . N N ,C c 1 c c ( N N ) c c c 1 [N+] ( = O ) [O-]
F c 1 c c c ( C Cl ) c c 1 . O = [N+] ( [O-] ) c 1 c c c ( O ) c c 1 F ,O = [N+] ( [O-] ) c 1 c c c ( O C c 2 c c c ( F ) c c 2 ) c c 1 F
C O c 1 n n ( - c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c ( = O ) o 1 ,C O c 1 n n ( - c 2 c c c ( N ) c c 2 ) c ( = O ) o 1
N c 1 c c c ( F ) c c 1 N . O = C ( O ) c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 ,O = [N+] ( [O-] ) c 1 c c c ( - c 2 n c 3 c c c ( F ) c c 3 [nH] 2 ) c c 1
Br C c 1 c c c c c 1 Br ,Br c 1 c c c c c 1 C ( Br ) C c 1 c c c c c 1
C c 1 c c c c c 1 . O ,C c 1 c c c ( - c 2 c c c c c 2 C ( = O ) O ) c c 1
N c 1 c c c c c 1 F . O = C ( O ) c 1 c c c c c 1 ,N c 1 c c c ( C ( = O ) c 2 c c c c c 2 ) c c 1 F
C O c 1 c c ( Cl ) c c c 1 [N+] ( = O ) [O-] . S c 1 c c n c c 1 ,C O c 1 c c ( S c 2 c c n c c 2 ) c c c 1 [N+] ( = O ) [O-]
C O c 1 c c ( S ( = O ) ( = O ) c 2 c c c c c 2 ) c c c 1 [N+] ( = O ) [O-] ,C O c 1 c c ( S ( = O ) ( = O ) c 2 c c c c c 2 ) c c c 1 N
C S ( = O ) ( = O ) c 1 c c c ( Br ) c c 1 [N+] ( = O ) [O-] ,C S ( = O ) ( = O ) c 1 c c c ( Br ) c c 1 N
C c 1 n n n n 1 - c 1 c c c ( Br ) c c 1 [N+] ( = O ) [O-] ,C c 1 n n n n 1 - c 1 c c c ( Br ) c c 1 N
F c 1 c c c c ( F ) c 1 - c 1 c c c c c 1 C Br . F c 1 c c c c ( F ) c 1 - c 1 n c 2 c c c c c 2 [nH] 1 ,F c 1 c c c c ( F ) c 1 C n 1 c ( - c 2 c ( F ) c c c c 2 F ) n c 2 c c c c c 2 1
F c 1 c c c c ( F ) c 1 C Br . O = [N+] ( [O-] ) c 1 c c c c 2 n c ( - c 3 c ( F ) c c c c 3 F ) [nH] c 1 2 ,O = [N+] ( [O-] ) c 1 c c c c 2 c 1 n c ( - c 1 c ( F ) c c c c 1 F ) n 2 C c 1 c ( F ) c c c c 1 F
O = C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 [N+] ( = O ) [O-] ,N c 1 c c c ( C = O ) c ( N ) c 1
O = C ( N c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 O ) c 1 c c c c ( Cl ) c 1 ,O = [N+] ( [O-] ) c 1 c c c c 2 n c ( - c 3 c c c c ( Cl ) c 3 ) o c 1 2
N c 1 c c c c 2 n c ( - c 3 c c c c ( Cl ) c 3 ) o c 1 2 . O = C c 1 c c c c n 1 ,Cl c 1 c c c c ( - c 2 n c 3 c c c c ( N C c 4 c c c c n 4 ) c 3 o 2 ) c 1
C c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . O = [N+] ( [O-] ) c 1 c c c 2 n c [nH] c 2 c 1 ,C c 1 c c c ( S ( = O ) ( = O ) n 2 c n c 3 c c ( [N+] ( = O ) [O-] ) c c c 3 2 ) c c 1
O C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
O C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
O C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
O C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
O C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
N # C c 1 n c c n c 1 Cl . O ,N # C c 1 c ( Cl ) n c c [n+] 1 [O-]
[N-] = [N+] = N C c 1 c c c 2 c ( N ) n [nH] c 2 n 1 ,N C c 1 c c c 2 c ( N ) n [nH] c 2 n 1
N # C c 1 c c c 2 c ( N ) n o c 2 c 1 ,N C c 1 c c c 2 c ( N ) n o c 2 c 1
N # C c 1 c c c 2 c ( N ) n [nH] c 2 c 1 ,N # C c 1 c c c 2 c n [nH] c 2 c 1
N # C c 1 c c c 2 [nH] n c c 2 c 1 ,N C c 1 c c c 2 [nH] n c c 2 c 1
N # C c 1 c c c c ( O c 2 c c c c c 2 [N+] ( = O ) [O-] ) c 1 ,N # C c 1 c c c c ( O c 2 c c c c c 2 N ) c 1
C c 1 c c c ( Cl ) c ( Cl ) c 1 . O = [N+] ( [O-] ) O ,C c 1 c c ( Cl ) c ( Cl ) c c 1 [N+] ( = O ) [O-]
C c 1 c c ( Cl ) c ( Cl ) c c 1 [N+] ( = O ) [O-] ,C c 1 c c ( Cl ) c ( Cl ) c c 1 N
N # C c 1 c c c ( N = N c 2 c c c ( O ) c c 2 ) c c 1 . N c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 ,O = [N+] ( [O-] ) c 1 c c c ( N = N c 2 c c c ( O ) c c 2 ) c c 1
N c 1 c c c ( C ( = O ) O ) c c 1 . O = N c 1 c c c c c 1 ,O = C ( O ) c 1 c c c ( N = N c 2 c c c c c 2 ) c c 1
O C c 1 c c c c 2 n s n c 1 2 ,N c 1 c c c c ( C O ) c 1 N
O = [N+] ( [O-] ) c 1 c c c c c 1 - c 1 n c 2 c c c c ( C O ) c 2 [nH] 1 ,O = C c 1 c c c c 2 n c ( - c 3 c c c c c 3 [N+] ( = O ) [O-] ) [nH] c 1 2
C c 1 c c c c ( N ) c 1 N . O = S ( Cl ) Cl ,C c 1 c c c c 2 n s n c 1 2
Br C c 1 c c c c 2 n s n c 1 2 . O ,O C c 1 c c c c 2 n s n c 1 2
Cl c 1 n s n c 1 - c 1 c c c n c 1 . O = C c 1 c c c n c 1 ,Cl c 1 n s n c 1 - c 1 c c c c n 1
O = C c 1 c c c c ( F ) c 1 O ,O C c 1 c c c c ( F ) c 1 O
N # C c 1 c c c n c 1 O c 1 c c c c ( Cl ) c 1 . O = S ( = O ) ( [O-] ) [O-] ,N C ( = O ) c 1 c c c n c 1 O c 1 c c c c ( Cl ) c 1
N # C c 1 c c c n c 1 Cl . O c 1 c c c c ( Cl ) c 1 ,N # C c 1 c c c n c 1 O c 1 c c c c ( Cl ) c 1
O = C ( O ) c 1 c c ( Cl ) c ( Cl ) s 1 ,O C c 1 c c ( Cl ) c ( Cl ) s 1
O = c 1 [nH] c 2 c c c ( Br ) c c 2 n 1 C c 1 c c c c c 1 . O B ( O ) c 1 c c c c ( Cl ) c 1 ,O = c 1 [nH] c 2 c c c ( - c 3 c c c c ( Cl ) c 3 ) c c 2 n 1 C c 1 c c c c c 1
O = [N+] ( [O-] ) c 1 c c c c ( B ( O ) O ) c 1 . O = c 1 [nH] c 2 c c c ( Br ) c c 2 n 1 C c 1 c c c c c 1 ,O = c 1 [nH] c 2 c c c ( - c 3 c c c c ( [N+] ( = O ) [O-] ) c 3 ) c c 2 n 1 C c 1 c c c c c 1
C n 1 c ( = O ) [nH] c 2 c c c ( Br ) c c 2 1 . O = [N+] ( [O-] ) c 1 c c c c ( B ( O ) O ) c 1 ,C n 1 c ( = O ) [nH] c 2 c c c ( - c 3 c c c c ( [N+] ( = O ) [O-] ) c 3 ) c c 2 1
C n 1 c ( = O ) [nH] c 2 c c c ( Br ) c c 2 1 . O B ( O ) c 1 c c c c ( Cl ) c 1 ,C n 1 c ( = O ) [nH] c 2 c c c ( - c 3 c c c c ( Cl ) c 3 ) c c 2 1
C O c 1 c c ( - c 2 c c c c ( [N+] ( = O ) [O-] ) c 2 ) c c c 1 N ,N c 1 c c c ( - c 2 c c c c ( [N+] ( = O ) [O-] ) c 2 ) c c 1 O
N c 1 c c c ( - c 2 c c c c ( [N+] ( = O ) [O-] ) c 2 ) c c 1 O . O = C ( n 1 c c n c 1 ) n 1 c c n c 1 ,O = c 1 [nH] c 2 c c c ( - c 3 c c c c ( [N+] ( = O ) [O-] ) c 3 ) c c 2 o 1
C c 1 c c ( F ) c ( N ) c c 1 [N+] ( = O ) [O-] . Cl ,C c 1 c c ( F ) c ( Cl ) c c 1 [N+] ( = O ) [O-]
Br . C c 1 c c ( F ) c ( N ) c c 1 [N+] ( = O ) [O-] ,C c 1 c c ( F ) c ( Br ) c c 1 [N+] ( = O ) [O-]
C c 1 c c ( F ) c ( N ) c c 1 [N+] ( = O ) [O-] . [I-] ,C c 1 c c ( F ) c ( I ) c c 1 [N+] ( = O ) [O-]
Br c 1 c c c 2 c c [nH] c 2 c 1 . C S ( = O ) ( = O ) Cl ,C S ( = O ) ( = O ) n 1 c c c 2 c c c ( Br ) c c 2 1
Br c 1 c c c 2 c c [nH] c 2 c 1 . F c 1 c c c ( C Br ) c c 1 ,F c 1 c c c ( C n 2 c c c 3 c c c ( Br ) c c 3 2 ) c c 1
N N C ( = O ) c 1 c c c c c 1 ,C C ( C C ( C ) C ) = N N C ( = O ) c 1 c c c c c 1
N N C ( = O ) c 1 c c 2 c c c c c 2 c c 1 O ,C C C ( C ) = N N C ( = O ) c 1 c c 2 c c c c c 2 c c 1 O
N N c 1 c c c c c 1 . O = C ( Cl ) c 1 c c c c c 1 ,O = C ( N N c 1 c c c c c 1 ) c 1 c c c c c 1
C c 1 c c c ( S ( = O ) ( = O ) O ) c c 1 . N N S ( = O ) ( = O ) c 1 c c c c c 1 ,C C ( C ) = N N S ( = O ) ( = O ) c 1 c c c c c 1
N N S ( = O ) ( = O ) c 1 c c c c c 1 . O = C c 1 c c c c c 1 ,O = S ( = O ) ( N N = C c 1 c c c c c 1 ) c 1 c c c c c 1
N N S ( = O ) ( = O ) c 1 c c c c c 1 . O = C c 1 c c c o 1 ,O = S ( = O ) ( N N = C c 1 c c c o 1 ) c 1 c c c c c 1
N N = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( = O ) ( Cl ) c 1 c c c c c 1 ,O = S ( = O ) ( N N = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) c 1 c c c c c 1
N N S ( = O ) ( = O ) c 1 c c c c 2 c c c c c 1 2 . O = C c 1 c c c c c 1 ,O = S ( = O ) ( N N = C c 1 c c c c c 1 ) c 1 c c c c 2 c c c c c 1 2
Cl C n 1 c c c n 1 . c 1 c c c ( P c 2 c c c c c 2 ) c c 1 ,c 1 c c c ( P ( C n 2 c c c n 2 ) c 2 c c c c c 2 ) c c 1
Cl C c 1 c c c 2 c c c c c 2 n 1 ,Cl C c 1 c c c 2 c c c c c 2 n 1
O = [N+] ( [O-] ) O . O c 1 c c ( - c 2 n c c ( C ( F ) ( F ) F ) c c 2 Cl ) c ( F ) c c 1 Cl ,O = [N+] ( [O-] ) c 1 c ( O ) c ( Cl ) c c ( F ) c 1 - c 1 n c c ( C ( F ) ( F ) F ) c c 1 Cl
N c 1 c c ( - c 2 n c c ( C ( F ) ( F ) F ) c c 2 Cl ) c ( F ) c c 1 Cl . [N-] = [N+] = [N-] ,[N-] = [N+] = N c 1 c c ( - c 2 n c c ( C ( F ) ( F ) F ) c c 2 Cl ) c ( F ) c c 1 Cl
C c 1 c c c ( F ) c n 1 . O . O = [Mn] ( = O ) ( = O ) [O-] ,O = C ( O ) c 1 c c c ( F ) c n 1
O = C c 1 c c c ( Br ) c c 1 F . [O-] [Cl+] [O-] ,O = C ( O ) c 1 c c c ( Br ) c c 1 F
N C c 1 c c c c c 1 Cl . O = c 1 [nH] c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 c ( = O ) o 1 ,N c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 C ( = O ) N C c 1 c c c c c 1 Cl
N c 1 c c c ( F ) c c 1 Cl . O = S ( = O ) ( Cl ) C Cl ,O = S ( = O ) ( C Cl ) N c 1 c c c ( F ) c c 1 Cl
N c 1 c c c ( F ) c ( [N+] ( = O ) [O-] ) c 1 . O = S ( = O ) ( Cl ) C Cl ,O = [N+] ( [O-] ) c 1 c c ( N S ( = O ) ( = O ) C Cl ) c c c 1 F
O = [N+] ( [O-] ) c 1 c c ( N S ( = O ) ( = O ) C Cl ) c c c 1 F ,N c 1 c c ( N S ( = O ) ( = O ) C Cl ) c c c 1 F
O . c 1 c c c ( C c 2 c c c c c 2 ) c c 1 ,O = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
C c 1 c c c c c 1 S ( = O ) ( = O ) O . O = S ( = O ) ( O ) O ,C c 1 c c c ( S ( = O ) ( = O ) O ) c c 1
C c 1 c c c c c 1 . O = S ( = O ) = O ,C c 1 c c c ( S ( = O ) ( = O ) O ) c c 1
N # C c 1 c n c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 c 1 Cl . N c 1 c c c ( F ) c ( F ) c 1 ,N # C c 1 c n c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 c 1 N c 1 c c c ( F ) c ( F ) c 1
N # C c 1 c c n c c 1 . O O ,N # C c 1 c c [n+] ( [O-] ) c c 1
C O c 1 c c c ( O ) c 2 c c c c c 1 2 . O c 1 c c c ( Cl ) c 2 c c c c c 1 2 ,C c 1 c c c ( O ) c 2 c c c c c 1 2
O = C 1 c 2 c c c c c 2 - c 2 c c c ( F ) c c 2 1 ,F c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 - 2
O = C 1 c 2 c c c c c 2 - c 2 c c c n c 2 1 ,c 1 c c c 2 c ( c 1 ) C c 1 n c c c c 1 - 2
C c 1 c c c 2 c c ( [N+] ( = O ) [O-] ) c c c 2 n 1 ,C c 1 c c c 2 c c ( N ) c c c 2 n 1
Br C c 1 c c c c c 1 . I c 1 n [nH] c 2 c c c c c 1 2 ,I c 1 n n ( C c 2 c c c c c 2 ) c 2 c c c c c 1 2
O = C c 1 c c c c ( Cl ) c 1 Cl . O = [N+] ( [O-] ) O ,O = C c 1 c ( [N+] ( = O ) [O-] ) c c c ( Cl ) c 1 Cl
C O c 1 c c c ( N ) c c 1 F . O = S ( = O ) ( Cl ) c 1 c c c ( F ) c ( F ) c 1 F ,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( F ) c ( F ) c 2 F ) c c 1 F
C c 1 c c ( Br ) c c c 1 N . O = N [O-] ,C c 1 c c ( Br ) c c c 1 O
Cl C c 1 c c c c c 1 . O c 1 c c c ( Br ) c c 1 ,Br c 1 c c c ( O C c 2 c c c c c 2 ) c c 1
Br C c 1 c c c c c 1 . O c 1 c c c ( - c 2 c c c ( Br ) c c 2 ) c c 1 ,Br c 1 c c c ( - c 2 c c c ( O C c 3 c c c c c 3 ) c c 2 ) c c 1
O = C ( [O-] ) [O-] . O = c 1 [nH] c c ( Cl ) c c 1 Br ,C n 1 c c ( Cl ) c c ( Br ) c 1 = O
Br C c 1 c c c c c 1 . O = c 1 [nH] c c ( Cl ) c c 1 Br ,O = c 1 c ( Br ) c c ( Cl ) c n 1 C c 1 c c c c c 1
O = C ( [O-] ) [O-] . O = c 1 [nH] c c c c 1 Br ,C n 1 c c c c ( Br ) c 1 = O
Br [Mg] c 1 c c c c c 1 . N # C S c 1 c c c [nH] 1 ,c 1 c c c ( S c 2 c c c [nH] 2 ) c c 1
Cl c 1 n c n c 2 c c c ( Br ) c c 1 2 . N c 1 c c c 2 c ( c n n 2 C c 2 c c c c c 2 ) c 1 ,Br c 1 c c c 2 n c n c ( N c 3 c c c 4 c ( c n n 4 C c 4 c c c c c 4 ) c 3 ) c 2 c 1
C c 1 n n c ( - c 2 c c c 3 n c [nH] c ( = O ) c 3 c 2 ) o 1 . O = P ( Cl ) ( Cl ) Cl ,C c 1 n n c ( - c 2 c c c 3 n c n c ( Cl ) c 3 c 2 ) o 1
N # C c 1 c c c 2 n c [nH] c ( = O ) c 2 c 1 . [N-] = [N+] = [N-] ,O = c 1 [nH] c n c 2 c c c ( - c 3 n n n [nH] 3 ) c c 1 2
O = c 1 [nH] c n c 2 c c c ( - c 3 n n c ( C ( F ) ( F ) F ) o 3 ) c c 1 2 ,C c 1 n n c ( - c 2 c c c 3 n c [nH] c ( = O ) c 3 c 2 ) o 1
O = P ( Cl ) ( Cl ) Cl . O = c 1 [nH] c n c 2 c c c ( - c 3 n n c ( C ( F ) ( F ) F ) o 3 ) c c 1 2 ,F C ( F ) ( F ) c 1 n n c ( - c 2 c c c 3 n c n c ( Cl ) c 3 c 2 ) o 1
N N . O = C ( O ) c 1 c c c 2 c ( O ) n c n c 2 c 1 ,N N C ( = O ) c 1 c c c 2 c ( O ) n c n c 2 c 1
Cl C [Si] ( Cl ) ( Cl ) Cl . Cl [SiH] ( Cl ) Cl ,Cl [Si] ( Cl ) ( Cl ) C [Si] ( Cl ) ( Cl ) Cl
Cl C c 1 c c c c c 1 . Cl [SiH] ( Cl ) Cl ,Cl [Si] ( Cl ) ( Cl ) C c 1 c c c c c 1
Cl C c 1 c c c c c 1 . Cl [SiH] ( Cl ) Cl ,Cl [Si] ( Cl ) ( Cl ) C c 1 c c c c c 1
Cl C c 1 c c c ( Cl ) c c 1 . Cl [SiH] ( Cl ) Cl ,Cl c 1 c c c ( C [Si] ( Cl ) ( Cl ) Cl ) c c 1
N # C c 1 c c c c c 1 Br ,C c 1 c c c ( - c 2 c c c c c 2 C # N ) c c 1
C O c 1 c c c c c 1 B ( O ) O . O = [N+] ( [O-] ) c 1 c c ( Br ) c c c 1 F ,C O c 1 c c c c c 1 - c 1 c c c ( F ) c ( [N+] ( = O ) [O-] ) c 1
N # C c 1 c c c ( Br ) c c 1 . O c 1 c c c c c 1 ,N # C c 1 c c c ( O c 2 c c c c c 2 ) c c 1
O = C ( O ) c 1 n c c c n 1 . O = S ( Cl ) Cl ,O = C ( Cl ) c 1 n c c c n 1
[Li] C . c 1 c c c ( - c 2 c c c n c 2 ) c c 1 ,C c 1 c c c ( - c 2 c c c c c 2 ) c n 1
C O c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 Cl . c 1 c [nH] c n 1 ,C O c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 - n 1 c c n c 1
C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 Br . O = S ( = O ) ( O ) O ,O = C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 Br
C c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 - c 1 c n c o 1 ,C c 1 c c ( N ) c c c 1 - c 1 c n c o 1
C O c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 Cl . c 1 n c [nH] n 1 ,C O c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 - n 1 c n c n 1
O = [N+] ( [O-] ) c 1 c c c ( S C c 2 c c c c c 2 ) c c 1 ,N c 1 c c c ( S C c 2 c c c c c 2 ) c c 1
N c 1 c c c ( C ( = O ) c 2 c c c c c 2 ) c c 1 N ,N c 1 c c c ( C ( O ) c 2 c c c c c 2 ) c c 1 N
O = C ( O ) c 1 c c 2 c c c c c 2 c c 1 O ,O = C ( O ) c 1 c c 2 c ( c c 1 O ) C C C C 2
C n 1 c n c 2 c c ( N ) c c c 2 1 ,C n 1 c n c 2 c c ( N C 3 = N C C N 3 ) c c c 2 1
Br Br . N c 1 c c c 2 c ( c 1 ) n c n 2 C c 1 c c c c c 1 ,N c 1 c c c 2 c ( n c n 2 C c 2 c c c c c 2 ) c 1 Br
Br Br . N c 1 c c c 2 n c n ( C c 3 c c c c c 3 ) c 2 c 1 ,N c 1 c c c 2 n c n ( C c 3 c c c c c 3 ) c 2 c 1 Br
Br Br . N c 1 c c c 2 n c ( C ( F ) ( F ) F ) [nH] c 2 c 1 ,N c 1 c c c 2 n c ( C ( F ) ( F ) F ) [nH] c 2 c 1 Br
O = C N c 1 c c ( Cl ) c 2 [nH] c n c 2 c 1 ,N c 1 c c ( Cl ) c 2 [nH] c n c 2 c 1
Cl C c 1 c c c c n 1 . O c 1 c c c c c 1 ,c 1 c c c ( O C c 2 c c c c n 2 ) c c 1
c 1 c c c ( O C c 2 c c c c n 2 ) c c 1 ,c 1 c c c ( O C C 2 C C C C N 2 ) c c 1
O = C = O . [Li] c 1 c c 2 s c 3 s c c c 3 c 2 s 1 ,O = C ( O ) c 1 c c 2 s c 3 s c c c 3 c 2 s 1
O = C c 1 c c c ( O ) c ( O ) c 1 ,O = C c 1 c c c ( O ) c ( O C c 2 c c c c c 2 ) c 1
C N . O = c 1 [nH] c 2 c c c c c 2 c ( = O ) o 1 ,C N C ( = O ) c 1 c c c c c 1 N
Br c 1 c c c c c 1 . C c 1 c c c c ( N ) c 1 . Cl c 1 c c c ( Br ) c c 1 ,C c 1 c c c c ( N ( c 2 c c c c c 2 ) c 2 c c c ( Cl ) c c 2 ) c 1
O = C ( N c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 ) N c 1 c c n c 2 c c c c c 1 2 ,N c 1 c c c c ( N C ( = O ) N c 2 c c n c 3 c c c c c 2 3 ) c 1
C [O-] . O = [N+] ( [O-] ) c 1 c c c 2 c c n c ( Cl ) c 2 c 1 ,C O c 1 n c c c 2 c c c ( [N+] ( = O ) [O-] ) c c 1 2
C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 Br . O B ( O ) c 1 c c c ( F ) c c 1 ,C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 - c 1 c c c ( F ) c c 1
C O c 1 c c c ( I ) c c 1 . O B ( O ) c 1 c c 2 c c ( Cl ) c c c 2 o 1 ,C O c 1 c c c ( - c 2 c c 3 c c ( Cl ) c c c 3 o 2 ) c c 1
C c 1 c c c ( B ( O ) O ) c c 1 . Cl c 1 c c c 2 s c ( Br ) c c 2 c 1 ,C c 1 c c c ( - c 2 c c 3 c c ( Cl ) c c c 3 s 2 ) c c 1
O = C c 1 c c 2 c c c c c 2 n c 1 Cl . O B ( O ) c 1 c c c c c 1 ,O = C c 1 c c 2 c c c c c 2 n c 1 - c 1 c c c c c 1
Br C c 1 c c c c c 1 . Cl c 1 c c c 2 [nH] c c c 2 c 1 ,Cl c 1 c c c 2 c ( c c n 2 C c 2 c c c c c 2 ) c 1
C S ( = O ) ( = O ) c 1 c c c ( N ) c c 1 . I I ,C S ( = O ) ( = O ) c 1 c c c ( N ) c ( I ) c 1
Cl C c 1 c c c ( Cl ) c c 1 Cl . [I-] ,Cl c 1 c c c ( C I ) c ( Cl ) c 1
Cl I . O = C ( O ) c 1 c c c c ( O ) c 1 ,O = C ( O ) c 1 c c c ( I ) c ( O ) c 1
Br c 1 c c c c c 1 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,c 1 c c c ( N 2 c 3 c c c c c 3 C c 3 c c c c c 3 2 ) c c 1
C O c 1 c c c 2 c ( Cl ) c 3 c c c c c 3 n c 2 c 1 ,C O c 1 c c c 2 c c 3 c c c c c 3 n c 2 c 1
C O c 1 c c c 2 c ( = O ) c 3 c c c c c 3 [nH] c 2 c 1 ,C O c 1 c c c 2 c ( c 1 ) N c 1 c c c c c 1 C 2
O = [N+] ( [O-] ) c 1 c c c ( Br ) c c 1 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,O = [N+] ( [O-] ) c 1 c c c ( N 2 c 3 c c c c c 3 C c 3 c c c c c 3 2 ) c c 1
F c 1 c c c ( Br ) c c 1 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,F c 1 c c c ( N 2 c 3 c c c c c 3 C c 3 c c c c c 3 2 ) c c 1
Br c 1 c c c ( - c 2 n c 3 c c c c c 3 s 2 ) c c 1 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 c 1 c c c ( - c 2 n c 3 c c c c c 3 s 2 ) c c 1
Br c 1 c 2 c c c c c 2 c c 2 c c c c c 1 2 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 c 1 c c c c 2 c c 3 c c c c c 3 c c 1 2
Br c 1 c c c c n 1 . c 1 c c c 2 c ( c 1 ) C c 1 c c c c c 1 N 2 ,c 1 c c c ( N 2 c 3 c c c c c 3 C c 3 c c c c c 3 2 ) n c 1
N N c 1 c c c ( C ( F ) ( F ) F ) c c 1 ,N c 1 c c c ( C ( F ) ( F ) F ) c c 1
O = C c 1 c c ( Br ) c c c 1 F . O c 1 c c c ( Cl ) c ( Cl ) c 1 ,O = C c 1 c c ( Br ) c c c 1 O c 1 c c c ( Cl ) c ( Cl ) c 1
O = C c 1 c c c ( Br ) c c 1 F . O c 1 c c c ( Cl ) c ( Cl ) c 1 ,O = C c 1 c c c ( Br ) c c 1 O c 1 c c c ( Cl ) c ( Cl ) c 1
Br c 1 c c c c n 1 . O = C c 1 c c ( Br ) c c c 1 O c 1 c c c ( Cl ) c ( Cl ) c 1 ,O = C c 1 c c c c ( - c 2 c c c c n 2 ) c 1
Br C c 1 c c c c c 1 . O = c 1 n c 2 c ( - c 3 c c c c c 3 ) c ( - c 3 c c c c c 3 ) n c - 2 c 1 = O ,O = C 1 C ( = O ) N ( C c 2 c c c c c 2 ) c 2 c ( - c 3 c c c c c 3 ) c ( - c 3 c c c c c 3 ) n ( C c 3 c c c c c 3 ) c 2 1
C c 1 c c c c ( N ) n 1 . [O-] [I+3] ( [O-] ) ( [O-] ) O ,C c 1 n c ( N ) c c c 1 I
